,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_ad,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_dis,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,w_merged,label,label,label,label,label,label,label,label
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
LOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7523.0,0.20056919753551483,0.23943927884101868,4.9412054067943245e-05,0.032127151265740395,0.10101697593927383,0.2633713483810425,0.9889853000640869,7523.0,0.3444348871707916,0.278067409992218,6.233021122170612e-05,0.10183923691511154,0.2791859209537506,0.5429981350898743,0.9978330731391907,7523.0,0.4549959599971771,0.3318420350551605,0.0010962504893541336,0.13188322633504868,0.40472567081451416,0.7738698124885559,0.9992607235908508,7523.0,0.4047587398644158,0.49087791994919927,0.0,0.0,0.0,1.0,1.0
20,9228.0,0.17833800613880157,0.2155075967311859,2.3191039872472174e-05,0.031682275235652924,0.09193701297044754,0.23283186554908752,0.9743680357933044,9228.0,0.33707913756370544,0.2721687853336334,0.0001450335985282436,0.10195475444197655,0.27225933969020844,0.527606874704361,0.9945629239082336,9228.0,0.4845828413963318,0.3263666033744812,0.0002507616300135851,0.17181820422410965,0.4672026038169861,0.7969523370265961,0.9996592998504639,9228.0,0.43931512787169485,0.4963305769087028,0.0,0.0,0.0,1.0,1.0
21,14665.0,0.21687699854373932,0.2452116459608078,3.9219565223902464e-05,0.03473491594195366,0.10759080201387405,0.3108639717102051,0.9920750856399536,14665.0,0.30323994159698486,0.26260533928871155,0.0001487597037339583,0.08199890702962875,0.22496633231639862,0.47802257537841797,0.9968670010566711,14665.0,0.47988301515579224,0.3288872241973877,0.0004740825679618865,0.16919095814228058,0.43567928671836853,0.8099269866943359,0.9991093277931213,14665.0,0.43832253665189225,0.49619822616667747,0.0,0.0,0.0,1.0,1.0
22,11617.0,0.20885972678661346,0.2365073412656784,9.015496470965445e-05,0.03941485285758972,0.11676580458879471,0.27963387966156006,0.9871730804443359,11617.0,0.38109079003334045,0.2683145999908447,0.00014926526637282223,0.1517060548067093,0.33367887139320374,0.5812023282051086,0.9984815716743469,11617.0,0.4100494980812073,0.3075222373008728,0.00036396560608409345,0.12095373123884201,0.35799115896224976,0.6712798476219177,0.999725878238678,11617.0,0.41766376861496085,0.49319538058088763,0.0,0.0,0.0,1.0,1.0
23,8869.0,0.1930488646030426,0.23182067275047302,0.0001275487447855994,0.035156965255737305,0.09348674863576889,0.24842466413974762,0.9796056151390076,8869.0,0.38221415877342224,0.27044376730918884,0.00019709898333530873,0.15110599994659424,0.3353165090084076,0.5870694518089294,0.9982062578201294,8869.0,0.42473694682121277,0.31018057465553284,0.0010447613894939423,0.13526812195777893,0.37003445625305176,0.6997150182723999,0.9992176294326782,8869.0,0.44525876649002144,0.4970223844972695,0.0,0.0,0.0,1.0,1.0
24,7926.0,0.19079911708831787,0.2290426790714264,0.00024561031023040414,0.0331444526091218,0.09702807664871216,0.24655580520629883,0.986967146396637,7926.0,0.3626191318035126,0.26757702231407166,0.0002924542932305485,0.13654538244009018,0.30633604526519775,0.5508797317743301,0.9982603192329407,7926.0,0.44658178091049194,0.3138018250465393,0.0007120897062122822,0.1447347328066826,0.41423918306827545,0.7302316576242447,0.9988797307014465,7926.0,0.4766590966439566,0.49948641545856953,0.0,0.0,0.0,1.0,1.0
25,7654.0,0.17769171297550201,0.21682977676391602,4.5380813389783725e-05,0.030959554482251406,0.08807172998785973,0.22818240523338318,0.9818944334983826,7654.0,0.34483519196510315,0.2643137276172638,0.00021161581389606,0.12298322096467018,0.28257139027118683,0.5220496952533722,0.9969727993011475,7654.0,0.47747310996055603,0.3154755234718323,0.000761542294640094,0.17394011095166206,0.46784834563732147,0.7738025039434433,0.9979518055915833,7654.0,0.5301802978834597,0.49912092475564734,0.0,0.0,1.0,1.0,1.0
26,7938.0,0.1772097498178482,0.22102127969264984,9.767764277057722e-05,0.02892573783174157,0.08728699386119843,0.22424579411745071,0.976698100566864,7938.0,0.3357812464237213,0.2614147961139679,0.00041914271423593163,0.1180049255490303,0.2674887031316757,0.5074956119060516,0.9953715205192566,7938.0,0.4870089888572693,0.31828728318214417,0.0006916415877640247,0.18227366730570793,0.48907189071178436,0.7825194448232651,0.9978451728820801,7938.0,0.5471151423532375,0.4978065705935178,0.0,0.0,1.0,1.0,1.0
27,13118.0,0.14592434465885162,0.1817978173494339,6.03155349381268e-05,0.027113539166748524,0.0774695836007595,0.18887299299240112,0.9823411703109741,13118.0,0.2878497540950775,0.23849783837795258,0.0001892576547106728,0.09872469305992126,0.22168292105197906,0.41276729851961136,0.995650589466095,13118.0,0.5662258863449097,0.29723912477493286,0.0011339288903400302,0.3258185312151909,0.6227860748767853,0.827118456363678,0.9988800883293152,13118.0,0.656121359963409,0.4750192859339713,0.0,0.0,1.0,1.0,1.0
28,24876.0,0.12685321271419525,0.16530480980873108,7.434928556904197e-05,0.021579246036708355,0.06562741845846176,0.16481029242277145,0.9788132905960083,24876.0,0.24060770869255066,0.22635863721370697,4.0032024116953835e-05,0.06318053603172302,0.1698407530784607,0.34190573543310165,0.996618390083313,24876.0,0.6325390934944153,0.2928737998008728,0.0007787443464621902,0.420571893453598,0.7178045809268951,0.8816556036472321,0.9995125532150269,24876.0,0.7352870236372407,0.44118912184256115,0.0,0.0,1.0,1.0,1.0
