"Name","Commit","Runtime","GitHub","Group","Notes","Tags","fold","model","seed","lr","test_acc","test_auc","test_f1","test_loss","test_precision","test_recall","train_loss","valid_acc","valid_auc","valid_f1","valid_loss","valid_precision","valid_recall"
"ctmp_gin_seed2_fold3","e21d01bbc19bfe2d7a582f06c6268769e4640a91","3","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","3","ctmp_gin","2","0.0000020000545669733313","0.8816731770833334","0.953738299656802","0.8663227118350747","0.2750175467829025","0.8695392565572346","0.863129876287771","0.23927355421133753","0.8826351351351351","0.953919996255157","0.8675448713671589","0.274642653650028","0.8698332297988245","0.8652685217755046"
"ctmp_gin_seed2_fold4","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","4","ctmp_gin","2","0.0000020000545669733313","0.8826880361519608","0.9536503723039828","0.867417602631522","0.2764849451383662","0.8709800086918731","0.863884219147377","0.2325027072896201","0.8831714527027027","0.9539835649696168","0.8679934915280118","0.27595598083023015","0.871390522907126","0.8646228432910309"
"ctmp_gin_seed3_fold0","e21d01bbc19bfe2d7a582f06c6268769e4640a91","3","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","0","ctmp_gin","3","0.0000020000545669733313","0.8841145833333334","0.9550631647432336","0.8690595960579409","0.27207100373545395","0.8724383966290549","0.8657068655236699","0.2320731361745572","0.8842820945945946","0.9545732022610738","0.869305173992674","0.2738897268690561","0.8723257617092152","0.8663054327677171"
"ctmp_gin_seed3_fold1","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","1","ctmp_gin","3","0.0000020000545669733313","0.8842390471813726","0.9549280408994604","0.8692370085978478","0.27258726430257013","0.8723692922188575","0.8661271377307456","0.23293000037911069","0.8836908783783783","0.9544407097175368","0.86854590059088","0.2742789106846572","0.8721006019246252","0.8650200597037628"
"ctmp_gin_seed3_fold2","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","2","ctmp_gin","3","0.0000020000545669733313","0.8843826593137255","0.9551664712035688","0.8695459603106872","0.27243759214595054","0.8716929641221126","0.8674095067728482","0.22986053050389385","0.8833277027027027","0.9546842301369384","0.8681329171320293","0.2740888207476736","0.8717110623328572","0.864584026543204"
"ctmp_gin_seed3_fold3","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","3","ctmp_gin","3","0.0000020000545669733313","0.8840188419117647","0.95487990809079","0.8691722015227604","0.2732151244975341","0.8710724838461789","0.8672801922475942","0.23084807322247705","0.8841385135135135","0.9547458178146728","0.8694704790903468","0.27388975436911106","0.8700831262318964","0.8688586941018741"
"ctmp_gin_seed3_fold4","e21d01bbc19bfe2d7a582f06c6268769e4640a91","3","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","ctmp_gin_kfold","-","","4","ctmp_gin","3","0.0000020000545669733313","0.8843539368872549","0.9553916245173044","0.8693187350564204","0.2696693662804259","0.8727746700700592","0.8658900611011132","0.23917984925896343","0.8850844594594595","0.9555454892981208","0.8701581272843524","0.26913523953973467","0.8734673155031036","0.8668739185823209"
"gin_seed2_fold0","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","gin_kfold","-","","0","gin","2","0.00001277545409338495","0.8825875076593137","0.953681145213683","0.8670183637950759","0.27464312131573804","0.8724725292711937","0.8616319668951248","0.2462247087410608","0.8832648471320347","0.9543398101358428","0.8677835927736572","0.2722883249757236","0.8731559726732253","0.8624769192697923"
"gin_seed2_fold1","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","gin_kfold","-","","1","gin","2","0.00001277545409338495","0.8816540287990197","0.9531847413880258","0.8657376230095801","0.27545344545959777","0.8726570027152492","0.8589271089271089","0.2510558939730507","0.8823982007575758","0.953572286036536","0.8666481309262437","0.27401677366791954","0.8730683047442436","0.8603216903017036"
"gin_seed2_fold2","e21d01bbc19bfe2d7a582f06c6268769e4640a91","2","https://github.com/loveiscomplicated/CTMP_GIN/tree/e21d01bbc19bfe2d7a582f06c6268769e4640a91","gin_kfold","-","","2","gin","2","0.00001277545409338495","0.8820082720588235","0.9536668524260322","0.8664340135906967","0.2746892547800783","0.8714111312158008","0.861513427302901","0.245503732590226","0.8831422483766234","0.9542588837452508","0.86759718736229","0.2727502137599236","0.8733449695754057","0.8619245667297973"
